benchmark,model,#SDC,#DUE,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
Classification,inception_v4_299_quant_edgetpu.tflite,7193,250,398623640111.9958,1.8044589623382803e-08,6.271579877444322e-10
Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,5663,179,326719331301.97015,1.7332919902330406e-08,5.47870856881007e-10
Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,140,95,212231615191.241,6.59656667428397e-10,4.4762416718355514e-10
Conv,conv_2d_1_1024_1024_1_40_40_1_1_quant_edgetpu.tflite,39,17,325176982135.7024,1.1993468831605238e-10,5.2279223112125395e-11
Conv,conv_2d_1_1250_1250_1_40_40_1_1_quant_edgetpu.tflite,86,44,81068328608.46777,1.0608335150876307e-09,5.427520309750668e-10
Conv,conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite,2,47,10346865646.844135,1.9329525174708474e-10,4.5424384160564916e-09
Conv,conv_2d_1_500_500_1_40_40_1_1_quant_edgetpu.tflite,104,26,144373166725.23248,7.203554674251226e-10,1.8008886685628065e-10
Conv,conv_2d_1_512_512_1_40_40_1_1_quant_edgetpu.tflite,11,2,4289185450.3923974,2.5645895070808054e-09,4.662890012874191e-10
DepthwiseConv,depthwise_conv_2d_1_1000_1000_3_20_20_3_1_quant_edgetpu.tflite,452,73,203986777439.85226,2.215829896784742e-09,3.5786633288780127e-10
DepthwiseConv,depthwise_conv_2d_1_1024_1024_3_20_20_3_1_quant_edgetpu.tflite,40,5,185569099174.59448,2.1555312914660221e-10,2.6944141143325277e-11
DepthwiseConv,depthwise_conv_2d_1_256_256_3_20_20_3_1_quant_edgetpu.tflite,13,1,26077399443.287083,4.985159669879006e-10,3.834738207599235e-11
DepthwiseConv,depthwise_conv_2d_1_500_500_3_20_20_3_1_quant_edgetpu.tflite,69,61,54080445310.19304,1.2758770680276727e-09,1.1279492920244643e-09
DepthwiseConv,depthwise_conv_2d_1_512_512_3_20_20_3_1_quant_edgetpu.tflite,30,5,24421435728.36612,1.2284290053084078e-09,2.0473816755140128e-10
Detection,ssd_mobilenet_v2_catsdogs_quant_edgetpu.tflite,2055,17,44088984909.782906,4.661028155229802e-08,3.855838376589131e-10
Detection,ssd_mobilenet_v2_coco_quant_postprocess_edgetpu.tflite,8870,76,161594535341.6799,5.489047003504809e-08,4.70312933783952e-10
Detection,ssd_mobilenet_v2_subcoco14_quant_edgetpu.tflite,522,5,16488332939.445253,3.165874936642094e-08,3.0324472573200137e-10
Detection,ssd_mobilenet_v2_subcoco14_transf_learn_quant_edgetpu.tflite,670,5,21756500099.286835,3.079539433927437e-08,2.2981637566622662e-10
Detection,ssd_mobilenet_v2_transf_learn_catsdogs_quant_edgetpu.tflite,2333,14,54334530058.934555,4.293770457698788e-08,2.576630364671369e-10
Detection,ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite,5006,52,93877463410.34377,5.3324832373436506e-08,5.539135604112461e-10
